file_name,block_name,variant,avg_color_srgb,avg_color_linear
blast_furnace_top.png,Blast Furnace,top,"(80, 80, 81)","(19, 19, 20)"
blue_concrete.png,Blue Concrete,base,"(44, 46, 143)","(5, 5, 71)"
blue_concrete_powder.png,Blue Concrete Powder,base,"(70, 73, 166)","(14, 16, 99)"
blue_glazed_terracotta.png,Blue Glazed Terracotta,base,"(47, 64, 139)","(6, 12, 67)"
blue_ice.png,Blue Ice,base,"(116, 167, 253)","(45, 100, 250)"
blue_stained_glass.png,Blue Stained Glass,base,"(51, 76, 178)","(7, 17, 115)"
blue_terracotta.png,Blue Terracotta,base,"(74, 59, 91)","(16, 10, 26)"
blue_wool.png,Blue Wool,base,"(53, 57, 157)","(8, 9, 87)"
bone_block_side.png,Bone Block Side,side,"(229, 225, 207)","(201, 193, 161)"
bone_block_top.png,Bone Block Top,top,"(209, 206, 179)","(164, 159, 117)"
bookshelf.png,Bookshelf,base,"(117, 94, 59)","(45, 28, 10)"
brain_coral_block.png,Brain Coral Block,base,"(207, 91, 159)","(161, 26, 90)"
bricks.png,Bricks,base,"(150, 97, 83)","(79, 30, 21)"
brown_concrete.png,Brown Concrete,base,"(96, 59, 31)","(29, 10, 2)"
brown_concrete_powder.png,Brown Concrete Powder,base,"(125, 84, 53)","(53, 22, 8)"
brown_glazed_terracotta.png,Brown Glazed Terracotta,base,"(119, 106, 85)","(47, 36, 22)"
brown_mushroom_block.png,Brown Mushroom Block,base,"(149, 111, 81)","(78, 40, 20)"
brown_stained_glass.png,Brown Stained Glass,base,"(102, 76, 51)","(33, 17, 7)"
brown_terracotta.png,Brown Terracotta,base,"(77, 51, 35)","(18, 7, 3)"
brown_wool.png,Brown Wool,base,"(114, 71, 40)","(43, 15, 4)"
bubble_coral_block.png,Bubble Coral Block,base,"(165, 26, 162)","(97, 1, 93)"
budding_amethyst.png,Budding Amethyst,base,"(132, 96, 186)","(59, 29, 127)"
bush.png,Bush,base,"(59, 59, 59)","(10, 10, 10)"
cactus_side.png,Cactus Side,side,"(78, 115, 40)","(18, 44, 4)"
cactus_top.png,Cactus Top,top,"(65, 97, 33)","(12, 30, 2)"
calcite.png,Calcite,base,"(223, 224, 220)","(189, 191, 184)"
carved_pumpkin.png,Carved Pumpkin,base,"(150, 84, 17)","(79, 22, 0)"
cauldron_side.png,Cauldron Side,side,"(74, 73, 74)","(16, 16, 16)"
cauldron_top.png,Cauldron Top,top,"(44, 44, 45)","(5, 5, 5)"
cherry_leaves.png,Cherry Leaves,base,"(193, 145, 163)","(138, 73, 95)"
cherry_log.png,Cherry Log,base,"(54, 33, 44)","(8, 2, 5)"
cherry_log_top.png,Cherry Log Top,top,"(185, 141, 137)","(125, 69, 65)"
cherry_planks.png,Cherry Planks,base,"(226, 178, 172)","(195, 115, 107)"
cherry_trapdoor.png,Cherry Trapdoor,base,"(194, 153, 148)","(139, 82, 77)"
chiseled_bookshelf_empty.png,Chiseled Bookshelf Empty,base,"(90, 70, 41)","(25, 14, 4)"
chiseled_bookshelf_occupied.png,Chiseled Bookshelf Occupied,base,"(121, 94, 69)","(49, 28, 14)"
chiseled_bookshelf_side.png,Chiseled Bookshelf,side,"(175, 141, 86)","(111, 69, 23)"
chiseled_copper.png,Chiseled Copper,base,"(184, 100, 73)","(124, 32, 16)"
chiseled_deepslate.png,Chiseled Deepslate,base,"(54, 54, 54)","(8, 8, 8)"
chiseled_nether_bricks.png,Chiseled Nether Bricks,base,"(45, 22, 27)","(5, 1, 1)"
chiseled_polished_blackstone.png,Chiseled Polished Blackstone,base,"(53, 48, 56)","(8, 6, 9)"
chiseled_quartz_block.png,Chiseled Quartz Block,base,"(231, 226, 218)","(205, 195, 180)"
chiseled_red_sandstone.png,Chiseled Red Sandstone,base,"(183, 96, 27)","(122, 29, 1)"
chiseled_resin_bricks.png,Chiseled Resin Bricks,base,"(200, 84, 24)","(149, 22, 1)"
chiseled_sandstone.png,Chiseled Sandstone,base,"(216, 202, 155)","(176, 152, 85)"
chiseled_stone_bricks.png,Chiseled Stone Bricks,base,"(119, 118, 119)","(47, 46, 47)"
chiseled_tuff.png,Chiseled Tuff,base,"(89, 94, 86)","(25, 28, 23)"
chiseled_tuff_bricks.png,Chiseled Tuff Bricks,base,"(98, 103, 95)","(31, 34, 29)"
chiseled_tuff_top.png,Chiseled Tuff Top,top,"(93, 98, 91)","(27, 31, 26)"
clay.png,Clay,base,"(160, 166, 179)","(91, 99, 117)"
coal_block.png,Coal Block,base,"(16, 15, 15)","(0, 0, 0)"
coal_ore.png,Coal Ore,base,"(105, 105, 105)","(36, 36, 36)"
coarse_dirt.png,Coarse Dirt,base,"(119, 85, 59)","(47, 22, 10)"
cobbled_deepslate.png,Cobbled Deepslate,base,"(77, 77, 80)","(18, 18, 19)"
cobblestone.png,Cobblestone,base,"(127, 127, 127)","(55, 55, 55)"
composter_side.png,Composter,side,"(112, 70, 31)","(41, 14, 2)"
copper_block.png,Copper Block,base,"(192, 107, 79)","(136, 37, 19)"
copper_bulb.png,Copper Bulb,base,"(156, 86, 57)","(86, 23, 9)"
copper_bulb_lit.png,Copper Bulb Lit,base,"(215, 150, 106)","(175, 79, 36)"
copper_grate.png,Copper Grate,base,"(134, 75, 55)","(61, 17, 8)"
copper_ore.png,Copper Ore,base,"(124, 125, 120)","(52, 53, 48)"
copper_trapdoor.png,Copper Trapdoor,base,"(151, 84, 63)","(80, 22, 11)"
cracked_deepslate_bricks.png,Cracked Deepslate Bricks,base,"(64, 64, 65)","(12, 12, 12)"
cracked_deepslate_tiles.png,Cracked Deepslate Tiles,base,"(52, 52, 52)","(7, 7, 7)"
cracked_nether_bricks.png,Cracked Nether Bricks,base,"(40, 20, 23)","(4, 0, 1)"
cracked_polished_blackstone_bricks.png,Cracked Polished Blackstone Bricks,base,"(44, 37, 43)","(5, 3, 5)"
cracked_stone_bricks.png,Cracked Stone Bricks,base,"(118, 117, 118)","(46, 45, 46)"
crafter_bottom.png,Crafter Bottom,bottom,"(78, 78, 78)","(18, 18, 18)"
crafter_top.png,Crafter Top,top,"(112, 98, 99)","(41, 31, 31)"
crafting_table_top.png,Crafting Table,top,"(119, 73, 42)","(47, 16, 4)"
creaking_heart_awake.png,Creaking Heart Awake,base,"(149, 84, 49)","(78, 22, 6)"
creaking_heart_dormant.png,Creaking Heart Dormant,base,"(102, 66, 49)","(33, 13, 6)"
crimson_nylium.png,Crimson Nylium,base,"(130, 31, 31)","(57, 2, 2)"
crimson_planks.png,Crimson Planks,base,"(101, 48, 70)","(33, 6, 14)"
crimson_trapdoor.png,Crimson Trapdoor,base,"(87, 42, 61)","(23, 4, 10)"
crying_obsidian.png,Crying Obsidian,base,"(32, 10, 60)","(2, 0, 10)"
cut_copper.png,Cut Copper,base,"(191, 106, 80)","(135, 36, 19)"
cut_red_sandstone.png,Cut Red Sandstone,base,"(189, 101, 31)","(131, 33, 2)"
cut_sandstone.png,Cut Sandstone,base,"(217, 206, 159)","(178, 159, 90)"
cyan_concrete.png,Cyan Concrete,base,"(21, 119, 136)","(1, 47, 63)"
cyan_concrete_powder.png,Cyan Concrete Powder,base,"(36, 147, 157)","(3, 75, 87)"
cyan_glazed_terracotta.png,Cyan Glazed Terracotta,base,"(52, 118, 125)","(7, 46, 53)"
cyan_stained_glass.png,Cyan Stained Glass,base,"(76, 127, 153)","(17, 55, 82)"
cyan_terracotta.png,Cyan Terracotta,base,"(86, 91, 91)","(23, 26, 26)"
cyan_wool.png,Cyan Wool,base,"(21, 137, 145)","(1, 65, 73)"
dark_oak_leaves.png,Dark Oak Leaves,base,"(105, 105, 105)","(36, 36, 36)"
dark_oak_log.png,Dark Oak Log,base,"(60, 46, 26)","(10, 5, 1)"
dark_oak_log_top.png,Dark Oak Log Top,top,"(67, 45, 22)","(13, 5, 1)"
dark_oak_planks.png,Dark Oak Planks,base,"(66, 43, 20)","(13, 5, 0)"
dark_oak_trapdoor.png,Dark Oak Trapdoor,base,"(75, 49, 23)","(17, 6, 1)"
dark_prismarine.png,Dark Prismarine,base,"(51, 91, 75)","(7, 26, 17)"
daylight_detector_inverted_top.png,Daylight Detector Inverted,top,"(106, 109, 112)","(36, 39, 41)"
daylight_detector_top.png,Daylight Detector,top,"(130, 116, 94)","(57, 45, 28)"
dead_brain_coral_block.png,Dead Brain Coral Block,base,"(124, 117, 114)","(52, 45, 43)"
dead_bubble_coral_block.png,Dead Bubble Coral Block,base,"(131, 123, 119)","(58, 51, 47)"
dead_fire_coral_block.png,Dead Fire Coral Block,base,"(131, 123, 119)","(58, 51, 47)"
dead_horn_coral_block.png,Dead Horn Coral Block,base,"(133, 126, 122)","(60, 54, 50)"
dead_tube_coral_block.png,Dead Tube Coral Block,base,"(130, 123, 119)","(57, 51, 47)"
deepslate.png,Deepslate,base,"(80, 80, 82)","(19, 19, 21)"
deepslate_bricks.png,Deepslate Bricks,base,"(70, 70, 71)","(14, 14, 15)"
deepslate_coal_ore.png,Deepslate Coal Ore,base,"(74, 74, 76)","(16, 16, 17)"
deepslate_copper_ore.png,Deepslate Copper Ore,base,"(92, 93, 89)","(27, 27, 25)"
deepslate_diamond_ore.png,Deepslate Diamond Ore,base,"(83, 106, 106)","(21, 36, 36)"
deepslate_emerald_ore.png,Deepslate Emerald Ore,base,"(78, 104, 87)","(18, 35, 23)"
deepslate_gold_ore.png,Deepslate Gold Ore,base,"(115, 102, 78)","(44, 33, 18)"
deepslate_iron_ore.png,Deepslate Iron Ore,base,"(106, 99, 94)","(36, 31, 28)"
deepslate_lapis_ore.png,Deepslate Lapis Ore,base,"(79, 90, 115)","(19, 25, 44)"
deepslate_redstone_ore.png,Deepslate Redstone Ore,base,"(104, 73, 74)","(35, 16, 16)"
deepslate_tiles.png,Deepslate Tiles,base,"(54, 54, 55)","(8, 8, 8)"
deepslate_top.png,Deepslate,top,"(87, 87, 89)","(23, 23, 25)"
diamond_block.png,Diamond Block,base,"(98, 237, 228)","(31, 217, 199)"
diamond_ore.png,Diamond Ore,base,"(121, 141, 140)","(49, 69, 68)"
diorite.png,Diorite,base,"(188, 188, 188)","(130, 130, 130)"
dirt.png,Dirt,base,"(134, 96, 67)","(61, 29, 13)"
dirt_path_top.png,Dirt Path,top,"(148, 121, 65)","(77, 49, 12)"
dispenser_front.png,Dispenser,front,"(122, 121, 121)","(50, 49, 49)"
dried_kelp_side.png,Dried Kelp,side,"(38, 48, 29)","(3, 6, 2)"
dripstone_block.png,Dripstone Block,base,"(134, 107, 92)","(61, 37, 27)"
emerald_block.png,Emerald Block,base,"(42, 203, 87)","(4, 154, 23)"
emerald_ore.png,Emerald Ore,base,"(108, 136, 115)","(38, 63, 44)"
enchanting_table_top.png,Enchanting Table Top,top,"(128, 75, 85)","(55, 17, 22)"
end_stone.png,End Stone,base,"(219, 222, 158)","(182, 187, 88)"
end_stone_bricks.png,End Stone Bricks,base,"(218, 224, 162)","(180, 191, 93)"
exposed_chiseled_copper.png,Exposed Chiseled Copper,base,"(154, 119, 100)","(84, 47, 32)"
exposed_copper.png,Exposed Copper,base,"(161, 125, 103)","(92, 53, 34)"
exposed_copper_bulb.png,Exposed Copper Bulb,base,"(135, 107, 89)","(62, 37, 25)"
exposed_copper_bulb_lit.png,Exposed Copper Bulb Lit,base,"(194, 145, 100)","(139, 73, 32)"
exposed_copper_grate.png,Exposed Copper Grate,base,"(113, 88, 73)","(42, 24, 16)"
exposed_copper_trapdoor.png,Exposed Copper Trapdoor,base,"(128, 99, 83)","(55, 31, 21)"
exposed_cut_copper.png,Exposed Cut Copper,base,"(154, 121, 101)","(84, 49, 33)"
farmland.png,Farmland,base,"(143, 102, 70)","(71, 33, 14)"
farmland_moist.png,Farmland Moist,base,"(81, 44, 15)","(20, 5, 0)"
fire_coral_block.png,Fire Coral Block,base,"(163, 35, 46)","(95, 3, 5)"
fletching_table_top.png,Fletching Table,top,"(197, 180, 133)","(144, 118, 60)"
flowering_azalea_leaves.png,Flowering Azalea Leaves,base,"(79, 88, 48)","(19, 24, 6)"
flowering_azalea_top.png,Flowering Azalea,top,"(112, 121, 64)","(41, 49, 12)"
furnace_top.png,Furnace,top,"(110, 109, 109)","(40, 39, 39)"
gilded_blackstone.png,Gilded Blackstone,base,"(55, 42, 38)","(8, 4, 3)"
glass.png,Glass,base,"(140, 149, 151)","(68, 78, 80)"
glow_lichen.png,Glow Lichen,base,"(46, 53, 49)","(5, 8, 6)"
glowstone.png,Glowstone,base,"(171, 131, 84)","(105, 58, 22)"
gold_block.png,Gold Block,base,"(246, 208, 61)","(235, 162, 10)"
gold_ore.png,Gold Ore,base,"(145, 133, 106)","(73, 60, 36)"
granite.png,Granite,base,"(149, 103, 85)","(78, 34, 22)"
grass_block_top.png,Grass Block,top,"(147, 147, 147)","(75, 75, 75)"
gravel.png,Gravel,base,"(131, 127, 126)","(58, 55, 54)"
gray_concrete.png,Gray Concrete,base,"(54, 57, 61)","(8, 9, 10)"
gray_concrete_powder.png,Gray Concrete Powder,base,"(76, 81, 84)","(17, 20, 22)"
gray_glazed_terracotta.png,Gray Glazed Terracotta,base,"(83, 90, 93)","(21, 25, 27)"
gray_stained_glass.png,Gray Stained Glass,base,"(76, 76, 76)","(17, 17, 17)"
gray_terracotta.png,Gray Terracotta,base,"(57, 42, 35)","(9, 4, 3)"
gray_wool.png,Gray Wool,base,"(62, 68, 71)","(11, 13, 15)"
green_concrete.png,Green Concrete,base,"(73, 91, 36)","(16, 26, 3)"
green_concrete_powder.png,Green Concrete Powder,base,"(97, 119, 44)","(30, 47, 5)"
green_glazed_terracotta.png,Green Glazed Terracotta,base,"(117, 142, 67)","(45, 70, 13)"
green_stained_glass.png,Green Stained Glass,base,"(102, 127, 51)","(33, 55, 7)"
green_terracotta.png,Green Terracotta,base,"(76, 83, 42)","(17, 21, 4)"
green_wool.png,Green Wool,base,"(84, 109, 27)","(22, 39, 1)"
hay_block_top.png,Hay Block,top,"(165, 139, 12)","(97, 67, 0)"
honey_block_top.png,Honey Block,top,"(251, 185, 52)","(246, 125, 7)"
honeycomb_block.png,Honeycomb Block,base,"(229, 148, 29)","(201, 77, 2)"
horn_coral_block.png,Horn Coral Block,base,"(216, 199, 66)","(176, 147, 13)"
ice.png,Ice,base,"(145, 183, 253)","(73, 122, 250)"
iron_bars.png,Iron Bars,base,"(62, 63, 61)","(11, 11, 10)"
iron_block.png,Iron Block,base,"(220, 220, 220)","(184, 184, 184)"
iron_ore.png,Iron Ore,base,"(136, 129, 122)","(63, 56, 50)"
iron_trapdoor.png,Iron Trapdoor,base,"(174, 173, 173)","(109, 108, 108)"
jack_o_lantern.png,Jack O Lantern,base,"(214, 152, 52)","(173, 81, 7)"
jungle_leaves.png,Jungle Leaves,base,"(109, 107, 99)","(39, 37, 31)"
jungle_log.png,Jungle Log,base,"(85, 67, 25)","(22, 13, 1)"
jungle_log_top.png,Jungle Log Top,top,"(149, 109, 70)","(78, 39, 14)"
jungle_planks.png,Jungle Planks,base,"(160, 115, 80)","(91, 44, 19)"
jungle_trapdoor.png,Jungle Trapdoor,base,"(127, 92, 64)","(55, 27, 12)"
lapis_block.png,Lapis Block,base,"(30, 67, 140)","(2, 13, 68)"
lapis_ore.png,Lapis Ore,base,"(107, 117, 141)","(37, 45, 69)"
leaf_litter.png,Leaf Litter,base,"(78, 78, 78)","(18, 18, 18)"
light_blue_concrete.png,Light Blue Concrete,base,"(35, 137, 198)","(3, 65, 146)"
light_blue_concrete_powder.png,Light Blue Concrete Powder,base,"(74, 180, 213)","(16, 118, 171)"
light_blue_glazed_terracotta.png,Light Blue Glazed Terracotta,base,"(94, 164, 208)","(28, 96, 162)"
light_blue_stained_glass.png,Light Blue Stained Glass,base,"(102, 153, 216)","(33, 82, 176)"
light_blue_terracotta.png,Light Blue Terracotta,base,"(113, 108, 137)","(42, 38, 65)"
light_blue_wool.png,Light Blue Wool,base,"(58, 175, 217)","(9, 111, 178)"
light_gray_concrete.png,Light Gray Concrete,base,"(125, 125, 115)","(53, 53, 44)"
light_gray_concrete_powder.png,Light Gray Concrete Powder,base,"(154, 154, 148)","(84, 84, 77)"
light_gray_glazed_terracotta.png,Light Gray Glazed Terracotta,base,"(144, 166, 167)","(72, 99, 100)"
light_gray_stained_glass.png,Light Gray Stained Glass,base,"(153, 153, 153)","(82, 82, 82)"
light_gray_terracotta.png,Light Gray Terracotta,base,"(135, 106, 97)","(62, 36, 30)"
light_gray_wool.png,Light Gray Wool,base,"(142, 142, 134)","(70, 70, 61)"
lime_concrete.png,Lime Concrete,base,"(94, 168, 24)","(28, 101, 1)"
lime_concrete_powder.png,Lime Concrete Powder,base,"(125, 189, 41)","(53, 131, 4)"
lime_glazed_terracotta.png,Lime Glazed Terracotta,base,"(162, 197, 55)","(93, 144, 8)"
lime_stained_glass.png,Lime Stained Glass,base,"(127, 204, 25)","(55, 156, 1)"
lime_terracotta.png,Lime Terracotta,base,"(103, 117, 52)","(34, 45, 7)"
lime_wool.png,Lime Wool,base,"(112, 185, 25)","(41, 125, 1)"
lodestone_top.png,Lodestone,top,"(147, 149, 152)","(75, 78, 81)"
loom_top.png,Loom,top,"(142, 119, 91)","(70, 47, 26)"
magenta_concrete.png,Magenta Concrete,base,"(169, 48, 159)","(103, 6, 90)"
magenta_concrete_powder.png,Magenta Concrete Powder,base,"(192, 83, 184)","(136, 21, 124)"
magenta_glazed_terracotta.png,Magenta Glazed Terracotta,base,"(208, 100, 191)","(162, 32, 135)"
magenta_stained_glass.png,Magenta Stained Glass,base,"(178, 76, 216)","(115, 17, 176)"
magenta_terracotta.png,Magenta Terracotta,base,"(149, 88, 108)","(78, 24, 38)"
magenta_wool.png,Magenta Wool,base,"(189, 68, 179)","(131, 13, 117)"
magma.png,Magma,base,"(142, 63, 31)","(70, 11, 2)"
mangrove_leaves.png,Mangrove Leaves,base,"(107, 106, 106)","(37, 36, 36)"
mangrove_log.png,Mangrove Log,base,"(83, 66, 41)","(21, 13, 4)"
mangrove_log_top.png,Mangrove Log Top,top,"(102, 48, 42)","(33, 6, 4)"
mangrove_planks.png,Mangrove Planks,base,"(117, 54, 48)","(45, 8, 6)"
mangrove_roots_side.png,Mangrove Roots,side,"(41, 32, 21)","(4, 2, 1)"
mangrove_trapdoor.png,Mangrove Trapdoor,base,"(97, 40, 37)","(30, 4, 3)"
melon_side.png,Melon,side,"(114, 146, 30)","(43, 74, 2)"
moss_block.png,Moss Block,base,"(89, 109, 45)","(25, 39, 5)"
mossy_cobblestone.png,Mossy Cobblestone,base,"(110, 118, 94)","(40, 46, 28)"
mossy_stone_bricks.png,Mossy Stone Bricks,base,"(115, 121, 105)","(44, 49, 36)"
mud.png,Mud,base,"(60, 57, 60)","(10, 9, 10)"
mud_bricks.png,Mud Bricks,base,"(137, 103, 79)","(65, 34, 19)"
muddy_mangrove_roots_side.png,Muddy Mangrove Roots,side,"(68, 58, 48)","(13, 9, 6)"
mushroom_block_inside.png,Mushroom Block Inside,base,"(201, 170, 120)","(151, 104, 48)"
mushroom_stem.png,Mushroom Stem,base,"(203, 196, 185)","(154, 142, 125)"
mycelium_top.png,Mycelium,top,"(111, 98, 101)","(40, 31, 33)"
nether_bricks.png,Nether Bricks,base,"(44, 21, 26)","(5, 1, 1)"
nether_gold_ore.png,Nether Gold Ore,base,"(115, 54, 42)","(44, 8, 4)"
nether_quartz_ore.png,Nether Quartz Ore,base,"(117, 65, 62)","(45, 12, 11)"
nether_wart_block.png,Nether Wart Block,base,"(114, 2, 2)","(43, 0, 0)"
netherite_block.png,Netherite Block,base,"(66, 61, 63)","(13, 10, 11)"
netherrack.png,Netherrack,base,"(97, 38, 38)","(30, 3, 3)"
note_block.png,Note Block,base,"(88, 58, 40)","(24, 9, 4)"
oak_leaves.png,Oak Leaves,base,"(96, 96, 96)","(29, 29, 29)"
oak_log.png,Oak Log,base,"(109, 85, 50)","(39, 22, 7)"
oak_log_top.png,Oak Log Top,top,"(151, 121, 73)","(80, 49, 16)"
oak_planks.png,Oak Planks,base,"(162, 130, 78)","(93, 57, 18)"
oak_trapdoor.png,Oak Trapdoor,base,"(107, 85, 48)","(37, 22, 6)"
obsidian.png,Obsidian,base,"(15, 10, 24)","(0, 0, 1)"
ochre_froglight_top.png,Ochre Froglight,top,"(250, 245, 206)","(244, 233, 159)"
orange_concrete.png,Orange Concrete,base,"(224, 97, 0)","(191, 30, 0)"
orange_concrete_powder.png,Orange Concrete Powder,base,"(227, 131, 31)","(197, 58, 2)"
orange_glazed_terracotta.png,Orange Glazed Terracotta,base,"(154, 147, 91)","(84, 75, 26)"
orange_stained_glass.png,Orange Stained Glass,base,"(216, 127, 51)","(176, 55, 7)"
orange_terracotta.png,Orange Terracotta,base,"(161, 83, 37)","(92, 21, 3)"
orange_wool.png,Orange Wool,base,"(240, 118, 19)","(223, 46, 0)"
oxidized_chiseled_copper.png,Oxidized Chiseled Copper,base,"(83, 161, 132)","(21, 92, 59)"
oxidized_copper.png,Oxidized Copper,base,"(82, 162, 132)","(21, 93, 59)"
oxidized_copper_bulb.png,Oxidized Copper Bulb,base,"(70, 132, 109)","(14, 59, 39)"
oxidized_copper_bulb_lit.png,Oxidized Copper Bulb Lit,base,"(134, 154, 104)","(61, 84, 35)"
oxidized_copper_grate.png,Oxidized Copper Grate,base,"(57, 112, 91)","(9, 41, 26)"
oxidized_copper_trapdoor.png,Oxidized Copper Trapdoor,base,"(66, 128, 105)","(13, 55, 36)"
oxidized_cut_copper.png,Oxidized Cut Copper,base,"(79, 153, 126)","(19, 82, 54)"
packed_ice.png,Packed Ice,base,"(141, 180, 250)","(69, 118, 244)"
packed_mud.png,Packed Mud,base,"(142, 106, 79)","(70, 36, 19)"
pale_moss_block.png,Pale Moss Block,base,"(106, 112, 104)","(36, 41, 35)"
pale_oak_leaves.png,Pale Oak Leaves,base,"(94, 99, 93)","(28, 31, 27)"
pale_oak_log.png,Pale Oak Log,base,"(87, 77, 75)","(23, 18, 17)"
pale_oak_log_top.png,Pale Oak Log Top,top,"(198, 189, 187)","(146, 131, 128)"
pale_oak_planks.png,Pale Oak Planks,base,"(227, 217, 216)","(197, 178, 176)"
pale_oak_trapdoor.png,Pale Oak Trapdoor,base,"(229, 220, 218)","(201, 184, 180)"
pearlescent_froglight_top.png,Pearlescent Froglight,top,"(245, 240, 239)","(233, 223, 221)"
pink_concrete.png,Pink Concrete,base,"(213, 101, 142)","(171, 33, 70)"
pink_concrete_powder.png,Pink Concrete Powder,base,"(228, 153, 181)","(199, 82, 119)"
pink_glazed_terracotta.png,Pink Glazed Terracotta,base,"(235, 154, 181)","(213, 84, 119)"
pink_petals.png,Pink Petals,base,"(99, 72, 87)","(31, 15, 23)"
pink_stained_glass.png,Pink Stained Glass,base,"(242, 127, 165)","(227, 55, 97)"
pink_terracotta.png,Pink Terracotta,base,"(161, 78, 78)","(92, 18, 18)"
pink_wool.png,Pink Wool,base,"(237, 141, 172)","(217, 69, 107)"
piston_bottom.png,Piston,bottom,"(97, 96, 96)","(30, 29, 29)"
piston_top.png,Piston Top,top,"(153, 127, 85)","(82, 55, 22)"
piston_top_sticky.png,Sticky Piston Top,top,"(122, 149, 91)","(50, 78, 26)"
podzol_top.png,Podzol,top,"(91, 63, 24)","(26, 11, 1)"
polished_andesite.png,Polished Andesite,base,"(132, 134, 133)","(59, 61, 60)"
polished_basalt_top.png,Polished Basalt,top,"(99, 98, 100)","(31, 31, 32)"
polished_blackstone.png,Polished Blackstone,base,"(53, 48, 56)","(8, 6, 9)"
polished_blackstone_bricks.png,Polished Blackstone Bricks,base,"(48, 42, 49)","(6, 4, 6)"
polished_deepslate.png,Polished Deepslate,base,"(72, 72, 73)","(15, 15, 16)"
polished_diorite.png,Polished Diorite,base,"(192, 193, 194)","(136, 138, 139)"
polished_granite.png,Polished Granite,base,"(154, 106, 89)","(84, 36, 25)"
polished_tuff.png,Polished Tuff,base,"(97, 104, 99)","(30, 35, 31)"
powder_snow.png,Powder Snow,base,"(248, 253, 253)","(239, 250, 250)"
prismarine.png,Prismarine,base,"(99, 156, 151)","(31, 86, 80)"
prismarine_bricks.png,Prismarine Bricks,base,"(99, 171, 158)","(31, 105, 88)"
pumpkin_side.png,Pumpkin,side,"(195, 114, 24)","(141, 43, 1)"
purple_concrete.png,Purple Concrete,base,"(100, 31, 156)","(32, 2, 86)"
purple_concrete_powder.png,Purple Concrete Powder,base,"(131, 55, 177)","(58, 8, 114)"
purple_glazed_terracotta.png,Purple Glazed Terracotta,base,"(109, 47, 152)","(39, 6, 81)"
purple_stained_glass.png,Purple Stained Glass,base,"(127, 63, 178)","(55, 11, 115)"
purple_terracotta.png,Purple Terracotta,base,"(118, 70, 86)","(46, 14, 23)"
purple_wool.png,Purple Wool,base,"(121, 42, 172)","(49, 4, 107)"
purpur_block.png,Purpur Block,base,"(169, 125, 169)","(103, 53, 103)"
